y,yhat
0,0.087983
0,0.353066
1,0.800058
0,0.253791
0,0.606678
1,0.825609
0,0.418711
1,0.863592
0,0.484874
0,0.614651
0,0.282445
0,0.23873
0,0.536694
1,0.676912
0,0.421936
0,0.326495
0,0.56655
0,0.071465
0,0.061517
0,0.20767
0,0.278206
0,0.387627
0,0.137322
0,0.042555
0,0.702723
0,0.203177
1,0.785036
0,0.120205
0,0.228286
0,0.08954
1,0.869112
1,0.67699
0,0.069841
0,0.545249
1,0.853407
0,0.584664
0,0.342746
0,0.28746
0,0.420334
1,0.842258
1,0.806322
0,0.300697
0,0.417278
0,0.279099
1,0.88746
1,0.891634
1,0.349295
1,0.318912
0,0.248028
0,0.243931
0,0.286691
1,0.66249
0,0.115756
0,0.213323
0,0.109009
0,0.207001
0,0.278569
0,0.116925
0,0.315491
0,0.316221
0,0.134227
0,0.223042
1,0.835945
0,0.136627
0,0.193517
1,0.979192
0,0.0591
1,0.94317
0,0.222156
0,0.500029
0,0.400913
0,0.271407
0,0.361718
0,0.525271
1,0.644713
0,0.541659
1,0.508087
0,0.457405
1,0.508744
0,0.198275
0,0.441785
0,0.254606
0,0.23121
1,0.741432
0,0.233308
0,0.311157
0,0.524666
0,0.559748
1,0.527012
1,0.544338
1,0.80018
0,0.596576
0,0.132614
1,0.526956
0,0.238556
1,0.83097
1,0.437618
1,0.796528
0,0.391139
0,0.212969
1,0.574092
0,0.349509
0,0.253897
0,0.049967
1,0.735636
0,0.218009
0,0.511821
0,0.363836
0,0.544511
1,0.89389
0,0.303936
0,0.652047
1,0.86277
1,0.457899
0,0.094429
1,0.710262
0,0.218216
0,0.315482
1,0.992192
1,0.722346
1,0.636965
1,0.821412
0,0.265157
0,0.060691
1,0.871569
0,0.335425
1,0.589241
1,0.923011
1,0.822114
0,0.288016
0,0.414829
0,0.412519
0,0.323821
0,0.313537
0,0.440031
0,0.321266
0,0.180634
0,0.045702
0,0.485692
0,0.651836
1,0.773242
0,0.206051
0,0.041195
0,0.205679
1,0.756566
0,0.137085
0,0.130274
0,0.272266
0,0.246111
0,0.141202
0,0.486115
0,0.01478
1,0.69575
1,0.709675
0,0.241485
0,0.334062
1,0.784092
0,0.206129
0,0.185145
0,0.245933
0,0.438252
1,0.720408
1,0.76223
0,0.554751
0,0.076774
0,0.483975
0,0.367693
0,0.081339
0,0.455534
1,0.832754
0,0.340391
0,0.146775
1,0.457414
1,0.788246
0,0.305055
0,0.103898
0,0.585618
0,0.282773
0,0.213492
1,0.67795
0,0.57346
0,0.163974
0,0.413808
0,0.293315
1,0.794139
1,0.947713
0,0.33068
0,0.402718
0,0.490279
0,0.409741
0,0.23166
0,0.138165
0,0.031426
0,0.421318
0,0.332421
0,0.261398
0,0.135978
0,0.058557
0,0.601432
1,0.739672
0,0.629811
0,0.58441
0,0.262393
0,0.137234
0,0.212053
0,0.143783
1,0.644961
0,0.350723
0,0.123677
0,0.30013
0,0.088177
0,0.281357
1,0.345388
0,0.571722
1,0.875098
1,0.859605
0,0.191893
0,0.437885
0,0.27657
0,0.36008
0,0.298204
0,0.110321
0,0.151889
0,0.390328
1,0.933254
0,0.200878
1,0.711143
0,0.123307
0,0.334921
0,0.13972
0,0.579101
1,0.902443
1,0.779865
1,0.967674
0,0.332506
0,0.426518
1,0.947186
1,0.748912
1,0.597099
0,0.337123
0,0.517028
1,0.816611
0,0.606894
1,0.843607
1,0.462748
0,0.079095
1,0.816843
1,0.972328
0,0.344642
1,0.803085
0,0.517778
1,0.523644
0,0.211505
1,0.620234
0,0.182362
0,0.252252
1,0.663283
0,0.357819
0,0.155503
1,0.830579
1,0.662164
0,0.444946
0,0.349549
0,0.315984
0,0.497647
0,0.353019
0,0.348523
1,0.572163
1,0.942137
1,0.658944
0,0.067968
0,0.447171
0,0.115892
0,0.281433
0,0.119567
1,0.633946
0,0.070441
